,date_time,course,how did you hear about county college of morris? [ccm web site],ccm_social_media,ccm_community_event,ccm_family_friend,ccm_current_student,ccm_alumni,ccm_hs_teacher,ccm_hs_counselor,ccm_in-app_ad,ccm_employer,ccm_billboard,ccm_television,ccm_radio,ccm_home_mailer,ccm_other,decision_affordable_cost,decision_location,decision_programs,decision_online_offers,decision_family_friend_referral,decision_faculty_staff,decision_reputation,decision_financial_aid,decision_scholarships,decision_class_size,decision_ex_curricular_ops,decision_credit_transfer,decision_other_college,decision_nj_stars,decision_credit_transfer,decision_hs_credits,degree_prog,more_cc_web,more_cc_cyber,more_cc_app_devel,more_cc_data_anal,more_ai,more_cc_program,more_cc_game_design,more_cc_hardware,gender,race_ethnicity,age
0,2022/09/30 11:06:53 AM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Early Childhood Education,No,Yes,Yes,No,No,Yes,No,No,Woman,Hispanic or Latino,18 and younger
1,2022/09/30 11:08:58 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Public Health,No,No,No,No,No,No,No,No,Woman,White/Caucasian,21-24
2,2022/09/30 11:14:01 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Don't recall,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Radiography,Yes,No,No,No,No,Yes,Yes,Yes,Woman,White/Caucasian,19-20
3,2022/09/30 11:17:07 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,Don't recall,No,No,No,No,No,No,High Impact,High Impact,,,,,High Impact,,,,High Impact,,,,High Impact,,Exercise Science,No,No,No,No,No,No,No,No,Man,White/Caucasian,19-20
4,2022/09/30 12:09:42 PM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Liberal Arts,Yes,No,No,No,Yes,Yes,No,No,Man,White/Caucasian,19-20
5,2022/09/30 4:45:01 PM EST,CMP 101 Computer Information Literacy,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Some Impact,High Impact,,,,,High Impact,,,High Impact,,High Impact,High Impact,,High Impact,High Impact,Liberal Arts,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
6,2022/10/02 12:00:13 PM EST,CMP 101 Computer Information Literacy,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,Nursing,No,No,No,No,No,No,No,No,Woman,Hispanic or Latino,18 and younger
7,2022/10/02 1:12:55 PM EST,CMP 101 Computer Information Literacy,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Nursing,No,No,No,No,No,No,No,No,Woman,Black/African American,25-34
8,2022/10/02 1:16:09 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Nursing,No,No,No,No,No,No,No,No,Woman,Black/African American,25-34
9,2022/10/02 2:08:28 PM EST,CMP 101 Computer Information Literacy,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Nursing,No,Yes,No,Yes,Yes,No,No,No,Woman,Hispanic or Latino,19-20
